Year	Argentina
1980	14.71009
1981	13.621501
1982	12.973733
1983	13.270023
1984	13.308665
1985	12.175451
1986	12.879954
1987	13.056981
1988	12.646924
1989	11.616809
1990	11.22536
1991	12.238277
1992	13.316974
1993	13.941892
1994	14.567553
1995	13.979708
1996	14.577746
1997	15.579188
1998	15.998829
1999	15.290224
2000	15.010685
2001	14.205101
2002	12.536259
2003	13.531213
2004	14.599634
2005	15.741187
2006	16.842733
2007	18.179904
2008	18.732245
2009	17.45284
2010	18.911823
2011	19.817451
2012	19.39231
2013	19.637756
2014	18.935003
2015	19.24358
2016	18.645092
2017	18.933296
2018	18.25534
2019	17.838798
	
	
	
