Year	Bolivia
1980	4.583124
1981	4.24619
1982	3.995538
1983	3.755635
1984	3.671458
1985	3.536095
1986	3.374636
1987	3.387065
1988	3.414339
1989	3.471284
1990	3.557934
1991	3.66873
1992	3.652883
1993	3.703002
1994	3.768136
1995	3.867347
1996	3.957188
1997	4.072282
1998	4.194283
1999	4.131651
2000	4.155632
2001	4.147588
2002	4.173575
2003	4.210309
2004	4.309074
2005	4.421855
2006	4.555132
2007	4.683269
2008	4.889176
2009	4.971033
2010	5.092962
2011	5.272945
2012	5.456136
2013	5.736635
2014	5.957119
2015	6.151636
2016	6.31293
2017	6.474183
2018	6.646233
2019	6.803231
