Year	Brazil
1980	11.37221
1981	10.634166
1982	10.466784
1983	9.896188
1984	10.203752
1985	10.784263
1986	11.367476
1987	11.552432
1988	11.371632
1989	11.530348
1990	10.726644
1991	10.655496
1992	10.424819
1993	10.763456
1994	11.213839
1995	11.50858
1996	11.200812
1997	11.402563
1998	11.266248
1999	11.149558
2000	11.470195
2001	11.467519
2002	11.665959
2003	11.654571
2004	12.180181
2005	12.42451
2006	12.772944
2007	13.405852
2008	13.943424
2009	13.784586
2010	14.67932
2011	15.131513
2012	15.290119
2013	15.617085
2014	15.562717
2015	14.880705
2016	14.269888
2017	14.305863
2018	14.359539
2019	14.552249
