Year	Chile
1980	7.986483
1981	8.344028
1982	7.094336
1983	6.786453
1984	7.073953
1985	7.102565
1986	7.368933
1987	7.718934
1988	8.141601
1989	8.855437
1990	9.03055
1991	9.551016
1992	10.370772
1993	10.893631
1994	11.271344
1995	12.089566
1996	12.73958
1997	13.501397
1998	13.909451
1999	13.673896
2000	14.233691
2001	14.536654
2002	14.822531
2003	15.268164
2004	16.19869
2005	16.958119
2006	17.848198
2007	18.532203
2008	18.986637
2009	18.481126
2010	19.348133
2011	20.30576
2012	21.156355
2013	21.802412
2014	21.968945
2015	22.245871
2016	22.379067
2017	22.428545
2018	23.09207
2019	23.632278
