Year	Colombia
1980	6.410007
1981	6.413118
1982	6.334921
1983	6.298622
1984	6.374408
1985	6.617258
1986	6.860321
1987	7.080341
1988	7.216956
1989	7.31167
1990	7.472584
1991	7.49412
1992	7.667027
1993	7.953049
1994	8.213971
1995	8.496766
1996	8.532537
1997	8.710912
1998	8.626455
1999	8.15972
2000	8.274164
2001	8.30622
2002	8.408111
2003	8.628994
2004	8.977839
2005	9.286194
2006	9.797632
2007	10.344454
2008	10.555465
2009	10.557303
2010	10.887745
2011	11.553558
2012	11.866095
2013	12.266072
2014	12.700263
2015	12.928901
2016	13.051199
2017	13.081596
2018	13.283217
2019	13.603432
