Year	Ecuador
1980	7.556129
1981	7.63178
1982	7.510197
1983	7.101354
1984	7.202781
1985	7.324191
1986	7.358981
1987	6.747905
1988	7.266106
1989	7.111172
1990	7.155863
1991	7.351748
1992	7.449119
1993	7.436262
1994	7.596307
1995	7.621391
1996	7.621566
1997	7.82658
1998	7.961812
1999	7.474497
2000	7.445029
2001	7.572795
2002	7.715048
2003	7.790621
2004	8.285802
2005	8.616508
2006	8.839199
2007	8.873684
2008	9.26962
2009	9.154144
2010	9.304039
2011	9.868982
2012	10.254805
2013	10.588926
2014	10.816837
2015	10.660333
2016	10.370407
2017	10.458934
2018	10.416147
2019	10.218783
