Year	G_Y
1971	6.292606196
1972	5.017640704
1973	13.95068213
1974	11.20850963
1975	10.972154
1976	7.397187619
1977	1.604842112
1978	5.706824945
1979	3.734048401
1980	3.708682969
1981	5.61286412
1982	0.614845354
1983	-0.336868771
1984	2.625273268
1985	3.935001412
1986	3.464782516
1987	-0.259098708
1988	5.89046729
1989	1.005777946
1990	3.679914053
1991	4.291342398
1992	2.114310675
1993	1.973218079
1994	4.258250468
1995	2.252548774
1996	1.731747514
1997	4.327864764
1998	3.266529404
1999	-4.739385791
2000	1.091801564
2001	4.0156299
2002	4.096776659
2003	2.722877337
2004	8.211020917
2005	5.291308267
2006	4.403526434
2007	2.190063972
2008	6.3571306
2009	0.566491592
2010	3.525298669
2011	7.868140919
2012	5.641962067
2013	4.946511267
2014	3.788868549
2015	0.098872608
2016	-1.226383985
2017	2.368386526
2018	1.37712703
