Year	Argentina	Bolivia	Brazil	Chile	Colombia	Ecuador	Mexico	Peru
1980	14.71	4.58	11.37	7.99	6.41	7.56	13.55	7.31
1981	13.62	4.25	10.63	8.34	6.41	7.63	14.36	7.52
1982	12.97	4.00	10.47	7.09	6.33	7.51	13.97	7.32
1983	13.27	3.76	9.90	6.79	6.30	7.10	13.19	6.48
1984	13.31	3.67	10.20	7.07	6.37	7.20	13.36	6.57
1985	12.18	3.54	10.78	7.10	6.62	7.32	13.37	6.56
1986	12.88	3.37	11.37	7.37	6.86	7.36	12.70	7.19
1987	13.06	3.39	11.55	7.72	7.08	6.75	12.67	7.57
1988	12.65	3.41	11.37	8.14	7.22	7.27	12.58	6.71
1989	11.62	3.47	11.53	8.86	7.31	7.11	12.85	5.69
1990	11.23	3.56	10.73	9.03	7.47	7.16	12.99	5.29
1991	12.24	3.67	10.66	9.55	7.49	7.35	13.30	5.30
1992	13.32	3.65	10.42	10.37	7.67	7.45	13.54	5.17
1993	13.94	3.70	10.76	10.89	7.95	7.44	13.69	5.34
1994	14.57	3.77	11.21	11.27	8.21	7.60	14.14	5.89
1995	13.98	3.87	11.51	12.09	8.50	7.62	13.05	6.21
1996	14.58	3.96	11.20	12.74	8.53	7.62	13.73	6.27
1997	15.58	4.07	11.40	13.50	8.71	7.83	14.47	6.57
1998	16.00	4.19	11.27	13.91	8.63	7.96	15.02	6.43
1999	15.29	4.13	11.15	13.67	8.16	7.47	15.25	6.43
2000	15.01	4.16	11.47	14.23	8.27	7.45	15.81	6.50
2001	14.21	4.15	11.47	14.54	8.31	7.57	15.56	6.44
2002	12.54	4.17	11.67	14.82	8.41	7.72	15.36	6.70
2003	13.53	4.21	11.65	15.27	8.63	7.79	15.39	6.89
2004	14.60	4.31	12.18	16.20	8.98	8.29	15.80	7.13
2005	15.74	4.42	12.42	16.96	9.29	8.62	15.99	7.49
2006	16.84	4.56	12.77	17.85	9.80	8.84	16.51	7.95
2007	18.18	4.68	13.41	18.53	10.34	8.87	16.68	8.53
2008	18.73	4.89	13.94	18.99	10.56	9.27	16.64	9.20
2009	17.45	4.97	13.78	18.48	10.56	9.15	15.54	9.20
2010	18.91	5.09	14.68	19.35	10.89	9.30	16.14	9.86
2011	19.82	5.27	15.13	20.31	11.55	9.87	16.52	10.38
2012	19.39	5.46	15.29	21.16	11.87	10.25	16.92	10.87
2013	19.64	5.74	15.62	21.80	12.27	10.59	16.96	11.38
2014	18.94	5.96	15.56	21.97	12.70	10.82	17.24	11.53
2015	19.24	6.15	14.88	22.25	12.93	10.66	17.62	11.77
2016	18.65	6.31	14.27	22.38	13.05	10.37	17.95	12.12
2017	18.93	6.47	14.31	22.43	13.08	10.46	18.13	12.29
2018	18.26	6.65	14.36	23.09	13.28	10.42	18.31	12.64
2019	17.84	6.80	14.55	23.63	13.60	10.22	18.43	13.01
