Year	G_y LA
1971	4.079127676
1972	4.601630779
1973	6.044468991
1974	3.891406978
1975	1.3438006
1976	3.756001693
1977	2.482126332
1978	1.606922212
1979	4.265959501
1980	3.7401513
1981	-1.799953479
1982	-2.582306154
1983	-4.592536214
1984	1.644342463
1985	1.527997346
1986	2.404872544
1987	1.342155102
1988	-0.899401979
1989	-0.538971062
1990	-1.495238695
1991	1.612503859
1992	0.726892986
1993	1.960725441
1994	2.818905449
1995	-0.157206588
1996	1.843789401
1997	3.469116058
1998	0.650076938
1999	-1.360116459
2000	2.290671563
2001	-0.526039003
2002	-1.06343042
2003	0.227263375
2004	4.977414975
2005	2.950792517
2006	3.984548819
2007	4.259095305
2008	2.705310447
2009	-3.006966514
2010	4.666013474
2011	3.222320299
2012	1.656935918
2013	1.648186215
2014	-0.058370493
2015	-0.935046586
2016	-1.33980555
2017	0.682988998
2018	0.54669153
