Year	Mexico
1980	13.545627
1981	14.362673
1982	13.970963
1983	13.194192
1984	13.359014
1985	13.37244
1986	12.702359
1987	12.669329
1988	12.584777
1989	12.848807
1990	12.991227
1991	13.299548
1992	13.541076
1993	13.688803
1994	14.14062
1995	13.049757
1996	13.732177
1997	14.471955
1998	15.021347
1999	15.246007
2000	15.81087
2001	15.557813
2002	15.356779
2003	15.385209
2004	15.802537
2005	15.986254
2006	16.51103
2007	16.677297
2008	16.638921
2009	15.542479
2010	16.137345
2011	16.522058
2012	16.923298
2013	16.958134
2014	17.241738
2015	17.618408
2016	17.945157
2017	18.131979
2018	18.312763
2019	18.43452
