Year	Peru
1980	7.31434
1981	7.524552
1982	7.320153
1983	6.481273
1984	6.572569
1985	6.557989
1986	7.187289
1987	7.571971
1988	6.709904
1989	5.687294
1990	5.289042
1991	5.299391
1992	5.169158
1993	5.338183
1994	5.8858
1995	6.209932
1996	6.273147
1997	6.566239
1998	6.432879
1999	6.425382
2000	6.498214
2001	6.443346
2002	6.700021
2003	6.885302
2004	7.132895
2005	7.485634
2006	7.951747
2007	8.52899
2008	9.203743
2009	9.196563
2010	9.862054
2011	10.380079
2012	10.87434
2013	11.380987
2014	11.525222
2015	11.77357
2016	12.118494
2017	12.286724
2018	12.643907
2019	13.006364
